Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,8.039999962,8.130000114,7.989999771,8.130000114,8.130000114,4300
2020-03-31,8.100000381,8.119999886,8.050000191,8.079999924,8.079999924,4900
2020-04-01,7.960000038,8.020000458,7.929999828,8.020000458,8.020000458,24400
2020-04-02,7.960000038,8,7.920000076,8,8,4000
2020-04-03,7.960000038,7.989999771,7.909999847,7.989999771,7.989999771,11400
2020-04-06,8.100000381,8.109999657,8.039999962,8.109999657,8.109999657,9800
2020-04-07,8.260000229,8.289999962,8.159999847,8.159999847,8.159999847,4600
2020-04-08,8.199999809,8.25,8.18999958,8.229999542,8.229999542,5800
2020-04-09,8.180000305,8.210000038,8.109999657,8.199999809,8.199999809,7000
2020-04-13,8.159999847,8.229999542,8.159999847,8.210000038,8.210000038,2400
2020-04-14,8.159999847,8.180000305,8.149999619,8.180000305,8.180000305,3600
2020-04-15,8.029999733,8.029999733,7.940000057,7.949999809,7.949999809,8500
2020-04-16,7.929999828,7.940000057,7.900000095,7.940000057,7.940000057,2100
2020-04-17,7.920000076,8,7.880000114,7.989999771,7.989999771,6300
2020-04-20,7.940000057,7.96999979,7.920000076,7.920000076,7.920000076,4700
2020-04-21,7.849999905,7.900000095,7.840000153,7.880000114,7.880000114,6200
2020-04-22,7.949999809,7.980000019,7.929999828,7.929999828,7.929999828,6300
2020-04-23,7.949999809,7.980000019,7.900000095,7.929999828,7.929999828,3000
2020-04-24,7.949999809,7.949999809,7.909999847,7.920000076,7.920000076,3200
2020-04-27,8,8.039999962,8,8.039999962,8.039999962,3400
2020-04-28,7.96999979,7.96999979,7.940000057,7.940000057,7.940000057,1100
2020-04-29,7.900000095,7.960000038,7.900000095,7.949999809,7.949999809,4300
2020-04-30,7.949999809,8,7.889999866,8,8,2600
2020-05-01,7.96999979,7.980000019,7.949999809,7.96999979,7.96999979,2300
2020-05-04,7.960000038,8,7.960000038,7.980000019,7.980000019,6900
2020-05-05,8.039999962,8.039999962,7.989999771,7.989999771,7.989999771,2000
2020-05-06,8.090000153,8.109999657,8.069999695,8.079999924,8.079999924,2900
2020-05-07,7.989999771,7.989999771,7.929999828,7.929999828,7.929999828,2000
2020-05-08,7.980000019,8.010000229,7.920000076,8.010000229,8.010000229,3300
2020-05-11,8.069999695,8.090000153,8,8.090000153,8.090000153,6200
2020-05-12,8.090000153,8.090000153,7.980000019,8.010000229,8.010000229,3400
2020-05-13,7.980000019,7.980000019,7.909999847,7.940000057,7.940000057,10200
2020-05-14,7.880000114,7.909999847,7.869999886,7.889999866,7.889999866,2300
2020-05-15,7.940000057,7.940000057,7.940000057,7.940000057,7.940000057,2800
2020-05-18,8.029999733,8.109999657,8.029999733,8.100000381,8.100000381,3300
2020-05-19,8.050000191,8.050000191,8,8.010000229,8.010000229,19000
2020-05-20,8,8,7.980000019,7.989999771,7.989999771,900
2020-05-21,8.010000229,8.010000229,7.940000057,8,8,13400
2020-05-22,7.96999979,7.96999979,7.940000057,7.940000057,7.940000057,800
2020-05-26,8.020000458,8.029999733,7.980000019,7.980000019,7.980000019,7100
2020-05-27,7.989999771,7.989999771,7.949999809,7.960000038,7.960000038,5000
2020-05-28,8,8.020000458,7.980000019,7.989999771,7.989999771,3000
2020-05-29,7.949999809,7.960000038,7.920000076,7.920000076,7.920000076,1300
2020-06-01,7.949999809,7.949999809,7.929999828,7.929999828,7.929999828,1600
2020-06-02,7.949999809,7.980000019,7.940000057,7.949999809,7.949999809,8100
2020-06-03,7.949999809,8.130000114,7.949999809,8.109999657,8.109999657,7900
2020-06-04,8.210000038,8.239999771,8.180000305,8.18999958,8.18999958,13300
2020-06-05,8.340000153,8.409999847,8.319999695,8.319999695,8.319999695,5200
2020-06-08,8.350000381,8.350000381,8.270000458,8.289999962,8.289999962,13200
2020-06-09,8.18999958,8.210000038,8.18999958,8.210000038,8.210000038,2800
2020-06-10,8.159999847,8.159999847,8.020000458,8.020000458,8.020000458,12400
2020-06-11,7.920000076,7.940000057,7.909999847,7.920000076,7.920000076,11600
2020-06-12,7.96999979,7.989999771,7.949999809,7.980000019,7.980000019,2600
2020-06-15,7.920000076,8,7.920000076,8,8,8500
2020-06-16,8.149999619,8.149999619,8.039999962,8.06000042,8.06000042,5800
2020-06-17,8.06000042,8.06000042,8,8,8,56600
2020-06-18,7.980000019,7.980000019,7.949999809,7.949999809,7.949999809,3600
2020-06-19,7.960000038,7.960000038,7.929999828,7.940000057,7.940000057,3500
2020-06-22,7.920000076,7.980000019,7.920000076,7.960000038,7.960000038,8400
2020-06-23,7.96999979,8.010000229,7.96999979,7.980000019,7.980000019,2900
2020-06-24,7.960000038,7.960000038,7.929999828,7.929999828,7.929999828,5100
2020-06-25,7.909999847,7.940000057,7.909999847,7.929999828,7.929999828,1500
2020-06-26,7.909999847,7.909999847,7.829999924,7.840000153,7.840000153,3700
2020-06-29,7.849999905,7.849999905,7.840000153,7.840000153,7.840000153,3600
2020-06-30,7.829999924,7.869999886,7.829999924,7.860000134,7.860000134,3200
2020-07-01,7.900000095,7.940000057,7.889999866,7.900000095,7.900000095,5500
2020-07-02,7.940000057,7.940000057,7.880000114,7.880000114,7.880000114,2800
2020-07-06,7.929999828,7.940000057,7.900000095,7.900000095,7.900000095,7200
2020-07-07,7.889999866,7.889999866,7.840000153,7.840000153,7.840000153,900
2020-07-08,7.869999886,7.889999866,7.869999886,7.889999866,7.889999866,1300
2020-07-09,7.860000134,7.860000134,7.789999962,7.800000191,7.800000191,3300
2020-07-10,7.789999962,7.860000134,7.789999962,7.849999905,7.849999905,6600
2020-07-13,7.869999886,7.889999866,7.829999924,7.829999924,7.829999924,7800
2020-07-14,7.789999962,7.829999924,7.789999962,7.829999924,7.829999924,2100
2020-07-15,7.849999905,7.849999905,7.820000172,7.829999924,7.829999924,800
2020-07-16,7.800000191,7.820000172,7.800000191,7.809999943,7.809999943,3000
2020-07-17,7.789999962,7.829999924,7.789999962,7.820000172,7.820000172,3400
2020-07-20,7.769999981,7.809999943,7.769999981,7.809999943,7.809999943,2400
2020-07-21,7.789999962,7.789999962,7.78000021,7.78000021,7.78000021,1200
2020-07-22,7.769999981,7.769999981,7.769999981,7.769999981,7.769999981,400
2020-07-23,7.739999771,7.760000229,7.739999771,7.739999771,7.739999771,4500
2020-07-24,7.75,7.769999981,7.730000019,7.760000229,7.760000229,11700
2020-07-27,7.789999962,7.789999962,7.789999962,7.789999962,7.789999962,400
2020-07-28,7.760000229,7.760000229,7.730000019,7.730000019,7.730000019,1600
2020-07-29,7.75,7.75,7.710000038,7.710000038,7.710000038,700
2020-07-30,7.699999809,7.699999809,7.670000076,7.670000076,7.670000076,7600
2020-07-31,7.710000038,7.710000038,7.670000076,7.690000057,7.690000057,7400
2020-08-03,7.699999809,7.699999809,7.690000057,7.690000057,7.690000057,400
