Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,204,205.5599976,203.6000061,205.25,205.25,8953500
2020-01-02,206.75,209.7899933,206.2700043,209.7799988,209.7799988,12077100
2020-01-03,207.2100067,210.3999939,206.9499969,208.6699982,208.6699982,11188400
2020-01-06,206.6999969,212.7799988,206.5200043,212.6000061,212.6000061,17058900
2020-01-07,212.8200073,214.5800018,211.75,213.0599976,213.0599976,14912400
2020-01-08,213,216.2400055,212.6100006,215.2200012,215.2200012,13475000
2020-01-09,217.5399933,218.3800049,216.2799988,218.3000031,218.3000031,12642800
2020-01-10,219.1999969,219.8800049,217.4199982,218.0599976,218.0599976,12119400
2020-01-13,219.6000061,221.9700012,219.2100067,221.9100037,221.9100037,14463400
2020-01-14,221.6100006,222.3800049,218.6300049,219.0599976,219.0599976,13288900
2020-01-15,220.6100006,221.6799927,220.1399994,221.1499939,221.1499939,10036500
2020-01-16,222.5700073,222.6300049,220.3899994,221.7700043,221.7700043,10015300
2020-01-17,222.0299988,222.2899933,220.5299988,222.1399994,222.1399994,15905900
2020-01-21,222.1600037,222.3699951,219.1199951,221.4400024,221.4400024,14275800
2020-01-22,222.3099976,222.75,221.2799988,221.3200073,221.3200073,12212800
2020-01-23,220.75,221.4900055,219.2700043,219.7599945,219.7599945,11195000
2020-01-24,220.8000031,221.7799988,216.1100006,217.9400024,217.9400024,11905800
2020-01-27,213.1000061,216.0599976,212.5,214.8699951,214.8699951,13810700
2020-01-28,216.1399994,218.7400055,213.5200043,217.7899933,217.7899933,13413800
2020-01-29,221.4400024,224.1999969,218.4499969,223.2299957,223.2299957,33181300
2020-01-30,206.5299988,211.4299927,204.75,209.5299988,209.5299988,48775500
2020-01-31,208.4299927,208.6900024,201.0599976,201.9100037,201.9100037,31359900
2020-02-03,203.4400024,205.1399994,202.5,204.1900024,204.1900024,15510500
2020-02-04,206.6199951,210.6000061,205.1999969,209.8300018,209.8300018,19628900
2020-02-05,212.5099945,212.7299957,208.7100067,210.1100006,210.1100006,12538200
2020-02-06,210.4700012,211.1900024,209.3399963,210.8500061,210.8500061,10567500
2020-02-07,210.3000031,212.8200073,209.9299927,212.3300018,212.3300018,12242500
2020-02-10,211.5200043,213.8000031,210.6600037,213.0599976,213.0599976,11856400
2020-02-11,210.1900024,210.8600006,206.5099945,207.1900024,207.1900024,25030800
2020-02-12,207.8500061,211.2200012,207.3999939,210.7599945,210.7599945,13813700
2020-02-13,209.5200043,214.3300018,209.1799927,213.1399994,213.1399994,15396600
2020-02-14,214,214.9299927,212.6499939,214.1799927,214.1799927,10741700
2020-02-18,213.5500031,217.9799957,213.3999939,217.8000031,217.8000031,15609200
2020-02-19,217.9900055,218.3200073,216.1100006,217.4900055,217.4900055,12135100
2020-02-20,216.5200043,218.7700043,212.9499969,214.5800018,214.5800018,13109200
2020-02-21,213.4799957,214.2400055,208.8300018,210.1799927,210.1799927,14092300
2020-02-24,201.8000031,203.6499939,198.1699982,200.7200012,200.7200012,23040700
2020-02-25,202.25,203.5,195.9499969,196.7700043,196.7700043,21433500
2020-02-26,197.1900024,201.2100067,195.4900055,197.1999969,197.1999969,16524500
2020-02-27,191.8200073,195.8800049,189.5,189.75,189.75,21641800
2020-02-28,182.6999969,192.7400055,181.8200073,192.4700012,192.4700012,32583500
2020-03-02,194.0299988,196.5700073,188.8500061,196.4400024,196.4400024,24949000
2020-03-03,196.2200012,197.2400055,183.9700012,185.8899994,185.8899994,27984100
2020-03-04,189.1699982,191.8300018,186.3899994,191.7599945,191.7599945,23062500
2020-03-05,186.7799988,188.9900055,183.8899994,185.1699982,185.1699982,19333400
2020-03-06,178.3300018,183.7799988,176.2599945,181.0899963,181.0899963,24559600
2020-03-09,169.6000061,175,165.1900024,169.5,169.5,29949000
2020-03-10,174.6699982,178.2899933,169.5,178.1900024,178.1900024,24517800
2020-03-11,174.0099945,175.8800049,167.6600037,170.2400055,170.2400055,20373900
2020-03-12,159.5399933,166.6000061,154.3399963,154.4700012,154.4700012,43266300
2020-03-13,163.5299988,170.7899933,157.6000061,170.2799988,170.2799988,35028600
2020-03-16,152.3200073,159.1300049,143.1000061,146.0099945,146.0099945,39120400
2020-03-17,150.7400055,153.9400024,140,149.4199982,149.4199982,34255600
2020-03-18,139.75,148.1799927,137.1000061,146.9600067,146.9600067,37553100
2020-03-19,146.6199951,159.9299927,144.8000031,153.1300049,153.1300049,39862300
2020-03-20,156.0200043,159.2700043,148,149.7299957,149.7299957,32568400
2020-03-23,149.6600037,152.3099976,142.25,148.1000061,148.1000061,29830800
2020-03-24,155.2100067,161.3099976,152.5700073,160.9799957,160.9799957,30440400
2020-03-25,158.9199982,162.9900055,153.0599976,156.2100067,156.2100067,35184300
2020-03-26,158.25,164,157.0200043,163.3399963,163.3399963,26556800
2020-03-27,158.1999969,160.0899963,154.75,156.7899933,156.7899933,24879900
2020-03-30,159.1799927,166.75,158.0599976,165.9499969,165.9499969,22515200
2020-03-31,165.4799957,170.9299927,164.1999969,166.8000031,166.8000031,23676300
2020-04-01,161.6199951,164.1499939,158.0399933,159.6000061,159.6000061,19507600
2020-04-02,159.1000061,161.3500061,155.9199982,158.1900024,158.1900024,20886300
2020-04-03,157.1499939,157.9100037,150.8300018,154.1799927,154.1799927,25983300
2020-04-06,160.1499939,166.1999969,158.5099945,165.5500031,165.5500031,28453600
2020-04-07,171.7899933,173.3899994,166.0099945,168.8300018,168.8300018,31411900
2020-04-08,171.25,175,167.7400055,174.2799988,174.2799988,21664200
