Date,Text
2020-02-28,"RT @FatKidDeals: Go Quick!!

Antibacterial Wipes in stock!

https://t.co/C9zi9vkD0M https://t.co/qI3KU8MQfO"
2020-03-02,"RT @FatKidDeals: Go Quick!!

Antibacterial Wipes in stock!

https://t.co/C9zi9vkD0M https://t.co/qI3KU8MQfO"
2020-03-03,"Go Quick!!

Antibacterial Wipes in stock!

https://t.co/C9zi9vkD0M https://t.co/qI3KU8MQfO"
2020-03-04,"RT @toysbeetle: Stock in back ‼️
 G.I. Joe Classified Series Snake Eyes on Amazon-https://t.co/4rKQjAQYhQ"
2020-03-05,"Stock in back ‼️
 G.I. Joe Classified Series Snake Eyes on Amazon-https://t.co/4rKQjAQYhQ"
2020-03-06,@20Slots $AMZN has 20 in stock
2020-03-09,"RT @drose_999: If you’re considering joining a start-up, read this blog post from my partner @yanda. Most people don’t understand stock com…"
2020-03-10,"💥 Now In Stock - New Apple #iPadPro (11-inch, Wi-Fi, 128GB) at Rs.71900 + Flat Rs.5000 instant discount with HDFC B… https://t.co/JAWVEdiBSe"
2020-03-11,"RT @4FreeEBooks: Profit By Planning Your Trades: A Beginner Guide To Trading Stocks 
by Tony Faso  https://t.co/Vl1BwkxOps
Discover how you…"
2020-03-12,RT @TaofeekLawal: @MindMusMoney @nypost His 200b networth is largely based on AMZN stock price. You're worth 400k if you paid off your mort…
2020-03-13,"‼WAREHOUSE DEAL‼ 
Amizle Citron Tea, 1.1 Pound $3.40
🗣Stock is REGIONAL. Warehouse items may be out of stock in you… https://t.co/z2ZcQPrbf6"
2020-03-16,"@elerianm another unintended consequence &gt;&gt; financial  panic in the form of asset panic &gt;&gt; asset concentration  &gt;&gt; AAPL, AMZN etc..."
2020-03-17,"RT @iMoGalore: Discover how you can trade stocks on a regular basis in the stock market &amp; reach your financial goals in this short read
Pro…"
2020-03-18,$gaxy is the new $amzn for the education sector. https://t.co/H66GvMsrKf
2020-03-19,@Fuckmanfred @RensStehouwer @John_D_Ferrer @dcexaminer @JeffBezos These words have no meaning anymore for how loose… https://t.co/BNdnUXaKix
2020-03-20,"$SNSS If you can't hold any form of stock for longer than 2 weeks kindly pull all your money out of the stock game,… https://t.co/LiSg72iANI"
2020-03-23,"RT @chigrl: $AAPL stock split tomorrow...will be interesting...probably see an announcement that FB, GOOG, and AMZN are bidding TICTOK with…"
2020-03-24,"CAP Barbell Power Rack Exercise Stand, Multiple Colors    
   
https://t.co/2Gjra6NpJ4     
    
If it says tempora… https://t.co/0m6ZpVDmb3"
2020-03-25,@Fuckmanfred @RensStehouwer @John_D_Ferrer @dcexaminer @JeffBezos Do you know what that entails? I'll stop hoping y… https://t.co/952aevK17N
2020-03-26,RT @FreddyInSpace: The weirdest thing about Underwater is that you cannot buy the DVD or Blu-ray directly from Amazon and I'm pretty sure t…
2020-03-27,"Bowflex Home Gym Series starting at $549!! (over 30% off)       
        
https://t.co/pcYnlY3ClU

*temporarily out… https://t.co/gerL4aHnGj"
2020-03-30,"300 LED Window Curtain String Light - $13.59! 
*5 colors in stock

https://t.co/FEUBbjD1io https://t.co/JbepWC8Nb6"
2020-03-31,"RT @FinTechZoom: New article: ""https://t.co/KMtrN2pqIl, Inc. (NASDAQ:AMZN), Alibaba (NYSE:BABA) - EV Maker Rivian Taps Former Tesla Exec As…"
2020-04-01,"Hand Sanitizers in stock on Amazon. 4 Big Bottles of Gerrmx $17.99

https://t.co/FT9JLE9RN5"
2020-04-02,"New article: ""https://t.co/KMtrN2pqIl, Inc. (NASDAQ:AMZN), Alibaba (NYSE:BABA) - EV Maker Rivian Taps Former Tesla… https://t.co/G7is2MoSAX"
2020-04-03,"RT @assetdash: Top 10 Stocks By Market Cap 🏆

1. $AAPL ($2.1T)
2. $AMZN ($1.7T)
3. $MSFT ($1.6T)
4. $GOOGL ($1.1T)
5. $FB ($844B)
6. $BABA…"
