Date,Open,High,Low,Close,Adj Close,Volume
2020-02-05,93.94999695,94.44000244,92.18000031,92.25,92.25,499400
2020-02-06,92.93000031,93.98000336,92.16999817,93.22000122,93.22000122,744300
2020-02-07,92.5,94.11000061,91.55000305,93.20999908,93.20999908,954900
2020-02-10,93.04000092,94.43000031,92.37999725,94.16999817,94.16999817,905900
2020-02-11,96.25,96.26000214,89.47000122,92.27999878,92.27999878,2535400
2020-02-12,93.09999847,95.55000305,92.47000122,94.66000366,94.66000366,1133600
2020-02-13,94.12000275,94.98999786,93.73999786,94.51000214,94.51000214,763500
2020-02-14,94.12000275,95.72000122,94.12000275,95.19999695,95.19999695,1142400
2020-02-18,96,98.43000031,96,98.05999756,98.05999756,1501900
2020-02-19,98.33000183,99.43000031,97.45999908,97.47000122,97.47000122,1138000
2020-02-20,97.26000214,100.1800003,97.02999878,99.11000061,99.11000061,1162300
2020-02-21,98.37999725,99.26000214,97.30000305,98.51000214,98.51000214,581900
2020-02-24,94.41000366,94.41000366,90.76000214,91.81999969,91.81999969,1423600
2020-02-25,92.45999908,93.38999939,84.22000122,85.63999939,85.63999939,1735900
2020-02-26,86.55000305,86.66000366,82.87999725,83.02999878,83.02999878,1455500
2020-02-27,80.37999725,80.61000061,74.47000122,76.01000214,76.01000214,2620800
2020-02-28,72.26999664,75.13999939,70.63999939,73.97000122,73.97000122,2547800
2020-03-02,74.37000275,76.18000031,71.33999634,75.98999786,75.98999786,1739900
2020-03-03,76.94999695,77.20999908,71.01000214,71.41000366,71.41000366,2041500
2020-03-04,73.16000366,74.73999786,72.06999969,74.66000366,74.66000366,1461400
2020-03-05,71.58000183,71.90000153,67.13999939,68.80999756,68.80999756,1423700
2020-03-06,65.43000031,67.72000122,63.84999847,65.76999664,65.76999664,1340800
2020-03-09,57.81999969,60.81999969,57.00999832,57.79999924,57.79999924,2247100
2020-03-10,60.49000168,64.56999969,60,63.90000153,63.90000153,1884700
2020-03-11,61.95999908,63.65999985,58.86999893,59.81999969,59.81999969,1435500
2020-03-12,53.49000168,59.74000168,47.45999908,55.52000046,55.52000046,2016300
2020-03-13,59.84999847,62.93000031,56.11000061,61.84000015,61.84000015,1952900
2020-03-16,53.70000076,56.72000122,52.15999985,54.86999893,54.86999893,1609500
2020-03-17,57.22999954,60.61000061,54.18999863,60.15999985,60.15999985,1313400
2020-03-18,55.27000046,59.43999863,41.84000015,44.99000168,44.99000168,2733000
2020-03-19,44.90999985,45,38.47000122,41.97000122,41.97000122,3117800
2020-03-20,43.34999847,47.31999969,39.72999954,40.68999863,40.68999863,2906800
2020-03-23,40.27999878,47.59999847,38.91999817,44.36999893,44.36999893,2125000
2020-03-24,48.29000092,49.65000153,44.09999847,46.18999863,46.18999863,2272500
2020-03-25,48.38999939,55.5,43.47000122,53.49000168,53.49000168,2678500
2020-03-26,53.49000168,60,53.49000168,58.81999969,58.81999969,1719200
2020-03-27,56.5,58.75,52.81000137,52.91999817,52.91999817,1300500
2020-03-30,53.08000183,54.70000076,50.29999924,51.43000031,51.43000031,1724400
2020-03-31,51,52.74000168,47.88000107,48.75,48.75,1860200
2020-04-01,46.54000092,48.99000168,45.00999832,46.20000076,46.20000076,1328100
2020-04-02,45.72000122,47.56000137,44.36000061,46.86000061,46.86000061,1513200
2020-04-03,46.29999924,47.13999939,43.81999969,44.29000092,44.29000092,1245400
2020-04-06,47.52000046,50.68000031,47.11999893,50.22999954,50.22999954,2782400
2020-04-07,54,60.97000122,53.09000015,56.09000015,56.09000015,2868500
2020-04-08,58.25999832,65.44999695,57.02999878,64.01000214,64.01000214,3324500
2020-04-09,67,70.22000122,60.20000076,61.90000153,61.90000153,2447600
2020-04-13,61.81000137,62.93999863,56.66999817,57.79999924,57.79999924,2060500
2020-04-14,60.72999954,62.25999832,57.45000076,58.13000107,58.13000107,2129400
2020-04-15,55.65000153,56.93999863,54.97999954,56.72999954,56.72999954,1515900
2020-04-16,57.29000092,57.90000153,53.58000183,54.63999939,54.63999939,2428400
2020-04-17,57.61999893,59.75,55.81000137,58.95999908,58.95999908,3530300
2020-04-20,57.02999878,60.40999985,56.18000031,58.68000031,58.68000031,1609500
2020-04-21,56.75,58.31999969,56.25,57.90000153,57.90000153,1037800
2020-04-22,59.49000168,62.43000031,58.86000061,60.34999847,60.34999847,1939300
2020-04-23,60.86000061,65.59999847,60.84000015,64.05999756,64.05999756,1709400
2020-04-24,64.27999878,66.52999878,63.66999817,66,66,2449000
2020-04-27,66.87000275,68.15000153,66.22000122,66.47000122,66.47000122,1560400
2020-04-28,68.51999664,69.41000366,66.16999817,66.41000366,66.41000366,2312300
2020-04-29,69.09999847,69.37000275,67.76000214,69.08000183,69.08000183,1685000
2020-04-30,68.09999847,69.72000122,66.16999817,66.73999786,66.73999786,1295900
2020-05-01,64.65000153,65.69999695,63.18000031,64.33000183,64.33000183,957000
2020-05-04,62.83000183,64.91999817,61.61000061,63.79000092,63.79000092,1138500
2020-05-05,69,71.84999847,67.51000214,68.91000366,68.91000366,2250000
2020-05-06,68.91000366,69.47000122,65.12999725,65.66000366,65.66000366,1887300
2020-05-07,66.97000122,68.08999634,65.51999664,66.18000031,66.18000031,1340500
2020-05-08,67.06999969,68.80999756,66.55999756,68.40000153,68.40000153,1480700
2020-05-11,66.73999786,69.58000183,65.80000305,68.13999939,68.13999939,1264500
2020-05-12,69,69.30000305,64.72000122,64.87000275,64.87000275,925800
2020-05-13,64.51000214,65.27999878,62.63000107,63.81000137,63.81000137,1286800
2020-05-14,63.06999969,64.47000122,60.75,64.38999939,64.38999939,1208000
2020-05-15,63.20999908,65.48999786,62.5,64.31999969,64.31999969,903200
2020-05-18,69.54000092,70.48999786,67.73999786,69.91000366,69.91000366,2623700
2020-05-19,69.54000092,71.33999634,68.30000305,68.33000183,68.33000183,1278900
2020-05-20,69.83000183,73.40000153,69.83000183,72.12999725,72.12999725,1260000
2020-05-21,71.88999939,74.5,71.88999939,73.12000275,73.12000275,1178200
2020-05-22,74.05999756,75.98000336,72.59999847,75.61000061,75.61000061,1163200
2020-05-26,79.80000305,82.83999634,79.01999664,80.91999817,80.91999817,1722500
2020-05-27,82.80999756,84,80.58000183,81.33000183,81.33000183,1590400
2020-05-28,82,82.83000183,78.36000061,78.55000305,78.55000305,1057300
2020-05-29,77.90000153,79.66999817,77.11000061,78.80999756,78.80999756,1465000
2020-06-01,78.80999756,79.44999695,76.44000244,78.43000031,78.43000031,799300
2020-06-02,79.16000366,80.15000153,78.16000366,78.97000122,78.97000122,768500
2020-06-03,80.83000183,82.63999939,80.5,81.19999695,81.19999695,1220200
2020-06-04,80.98000336,82.48000336,80.26999664,81.61000061,81.61000061,1134800
2020-06-05,85.09999847,87.87000275,82.97000122,83.55999756,83.55999756,1289000
2020-06-08,85.45999908,85.94000244,82.5,82.97000122,82.97000122,1517900
2020-06-09,80.90000153,81.51999664,79.27999878,79.37999725,79.37999725,1930500
2020-06-10,78.87999725,82.44000244,76.87999725,80.87999725,80.87999725,1342000
2020-06-11,75.5,76.38999939,72.11000061,73.58000183,73.58000183,1461900
2020-06-12,77.76000214,78.15000153,73.20999908,74.83999634,74.83999634,1115300
2020-06-15,72,77.70999908,71.69000244,77.58999634,77.58999634,1110900
2020-06-16,80.81999969,80.93000031,76.34999847,78.70999908,78.70999908,1324800
2020-06-17,79.08999634,81.69999695,78.87000275,80.27999878,80.27999878,1629100
2020-06-18,79.65000153,80.98000336,79.08999634,80.48999786,80.48999786,889600
2020-06-19,81.33999634,81.83000183,78,79.18000031,79.18000031,1400500
2020-06-22,79,81.51999664,78.11000061,80.98999786,80.98999786,1427900
2020-06-23,81.54000092,81.73999786,78.40000153,78.61000061,78.61000061,1268400
2020-06-24,77.66000366,78.16000366,75.26999664,75.51000214,75.51000214,784400
2020-06-25,74.93000031,75.87000275,74,75.69000244,75.69000244,557700
2020-06-26,75.43000031,75.45999908,71.70999908,72.95999908,72.95999908,1991100
2020-06-29,73.98000336,75.37999725,73.30999756,75.30000305,75.30000305,618800
2020-06-30,75.19999695,77.55000305,74.73999786,77.25,77.25,923000
2020-07-01,79.19999695,79.48999786,76.18000031,76.54000092,76.54000092,933000
2020-07-02,77.72000122,78.70999908,75.62000275,76.44999695,76.44999695,756300
2020-07-06,78.23000336,79.08000183,77.58000183,78.37000275,78.37000275,794000
2020-07-07,77.44999695,79.72000122,77.12999725,78.18000031,78.18000031,1220600
2020-07-08,79.48999786,80.38999939,78.58000183,79.15000153,79.15000153,1632100
2020-07-09,79.08999634,79.55000305,74.66999817,75.37999725,75.37999725,1151300
2020-07-10,75.44000244,78.54000092,75.44000244,78.44999695,78.44999695,704900
2020-07-13,79.30000305,79.52999878,76.01000214,76.29000092,76.29000092,894300
2020-07-14,76.31999969,78.93000031,75.72000122,78.70999908,78.70999908,607000
2020-07-15,80.55000305,81.43000031,78.81999969,80.18000031,80.18000031,810500
2020-07-16,80.18000031,81.01000214,79.34999847,80.16999817,80.16999817,678000
2020-07-17,80.61000061,82.01000214,80.05999756,81.52999878,81.52999878,1043900
2020-07-20,81.33000183,81.83999634,80.59999847,81.04000092,81.04000092,665600
2020-07-21,80.77999878,82.94999695,80.77999878,82.48000336,82.48000336,771700
2020-07-22,81.88999939,82.93000031,81.5,81.54000092,81.54000092,646500
2020-07-23,81.30000305,81.48999786,79.08000183,80,80,884100
2020-07-24,79.55000305,80.56999969,78.22000122,79.25,79.25,630900
2020-07-27,79.33999634,83.62000275,79.12000275,83.29000092,83.29000092,1016500
2020-07-28,82.98999786,83.20999908,79.66000366,79.73999786,79.73999786,1403300
2020-07-29,81.12999725,84.19999695,80.80000305,84.08000183,84.08000183,1945500
2020-07-30,82.95999908,87.20999908,82.25,86.62000275,86.62000275,2837300
2020-07-31,84.38999939,85.37000275,72.20999908,75.01999664,75.01999664,7341100
2020-08-03,75.84999847,77.45999908,73.76000214,76.25,76.25,1770400
